date_1,day,month,year,temp2_c,temp2_max_c,temp2_min_c,temp2_ave_c,surface_pressure_pa,wind_speed50_max_m_s,wind_speed50_min_m_s,wind_speed50_ave_m_s,prectotcorr,total_demand_mw,date_2,max_generation_mw
06-03-18,7.177387206266454,2.4082246917026264,-8.9287030806618e-34,2241199791269.343,12858.492667245104,5567738.248494006,768734061320.9993,10904862871777845e4,3.3981169788492367,1.0717936127248473,1.4561979444692565,0.30924954109840697,97.97958971137815,06-03-18,-0.16078223344987921
07-03-18,8.503698321636447,2.4082246917026264,-8.9287030806618e-34,1583510880603.006,11910.648352510278,3249988.912297309,487866570995.8664,11123018445935375e4,2.919102759975009,1.1132707847493932,1.3938550539771115,0.30924954109840697,97.97958971137815,07-03-18,-0.16035719505533502
08-03-18,9.849155320301948,2.4082246917026264,-8.9287030806618e-34,1343699388116.3757,11017.509372921317,2330262.0388219864,347498393823.24316,11178167416842689e4,2.7397990856115237,1.3257816084896459,1.4423143014782887,0.0039810717055349205,97.97958971137815,08-03-18,-0.16101124418502355
09-03-18,11.211578470242733,2.4082246917026264,-8.9287030806618e-34,1968887225367.5652,11960.448910314642,4658417.686480776,601167666265.9951,110243670407075e6,2.776054062773913,1.1085766702475037,1.3698778208245201,0.0039810717055349205,93.27379053094177,09-03-18,-0.16448322579315464
10-03-18,12.589254131789893,2.4082246917026264,-8.9287030806618e-34,2210233789866.84,12150.886060587272,4908974.507860289,639185087261.9749,11013454527816599e4,2.4466177087244727,0.7869801114754046,1.2348249941647749,0.0039810717055349205,97.46794344814094,10-03-18,-0.1609833809383465
11-03-18,13.980797781292393,2.4082246917026264,-8.9287030806618e-34,2149437197605.1113,12879.380026153472,3556114.050428753,601167666265.9951,1105716299192745e5,3.2601537808136403,0.6170338719755167,1.3626360050066388,0.0039810717055349205,97.46794344814094,11-03-18,-0.16027909457175785
12-03-18,15.385066261944818,2.4082246917026264,-8.9287030806618e-34,2435204720667.156,13667.297105245254,3600113.5228123143,683772100411.3488,10969901625040426e4,3.356567408264267,1.155724993006075,1.4722175408772635,0.0039810717055349205,97.97958971137815,12-03-18,-0.16001256293308705
13-03-18,16.801098884367192,2.4082246917026264,-8.9287030806618e-34,2820299699177.804,13537.522314292672,8156712.821459066,1062079183154.6265,10915678504791618e4,3.643027763379904,1.1642129537322767,1.515716567647187,0.0039810717055349205,98.48857801801182,13-03-18,-0.15973537625487486
14-03-18,18.228076374766676,2.4082246917026264,-8.9287030806618e-34,2671128467234.8125,13163.45267818232,4810268.7945688665,741838254763.416,10829423095471853e4,3.659101660176874,1.0743384453867963,1.495510381617572,0.0039810717055349205,98.99494936616716,14-03-18,-0.16014380921784674
15-03-18,19.66529136001754,2.4082246917026264,-8.9287030806618e-34,3598825548282.6636,14172.014716857735,6634176.032654612,1031117082587.6885,10722466695349622e4,3.2348015905658603,1.0345831668673808,1.422205277574883,0.0039810717055349205,98.48857801801182,15-03-18,-0.15940848672392
16-03-18,21.11212658688098,2.4082246917026264,-8.9287030806618e-34,3528330656241.465,13852.481297842005,8821627.712610519,1163510004871.3142,10627019816781588e4,4.4692575608052,0.9099066935012172,1.5816496074706792,0.5544194019129707,92.73618495501096,16-03-18,-0.16243884688908528
17-03-18,22.568038487707767,2.4082246917026264,-8.9287030806618e-34,5330799361323.313,14688.310076036638,12231382.896734452,1585472475712.3547,10743781600830423e4,3.9396021433585706,1.026190407228709,1.5258680965635685,0.7653060739792353,96.4365076099814,17-03-18,-0.16023505160859777
18-03-18,24.03254454041229,2.4082246917026264,-8.9287030806618e-34,4489572138636.964,14160.919877117669,10387576.035076281,1338733617457.3916,10991658662064366e4,3.0981153973055098,1.2161590313761501,1.4530696875223104,0.3492500040684315,99.49874371071225,18-03-18,-0.15868338708331495
19-03-18,25.505213383046275,2.4082246917026264,-8.9287030806618e-34,3719094454579.0854,14893.513721353776,7177820.983034019,1190619722346.3955,11112018082441473e4,3.2854217581541847,0.9721033037948273,1.4162411380124327,0.5157245640160029,100.00000000005001,19-03-18,-0.15822439093919474
20-03-18,26.985656968313492,2.4082246917026264,-8.9287030806618e-34,4195667156457.1533,14586.379644800896,7613893.810201891,1181521971498.3933,10883260535532382e4,2.408324381330186,0.5660142777073432,1.19876851421317,0.0039810717055349205,100.49875621125865,20-03-18,-0.15986192322385237
21-03-18,28.47352425548561,2.4082246917026264,-8.9287030806618e-34,4489572138636.964,14870.624755191673,6124425.613956812,1085414561541.7623,10786525852263798e4,2.958793361568182,0.7869801114754046,1.328880450014876,0.0039810717055349205,100.00000000005001,21-03-18,-0.1594117686247447
22-03-18,29.968496079166727,2.4082246917026264,-8.9287030806618e-34,4606246881730.018,15426.096664349603,8286330.654142611,1386013693867.5645,10574324828903008e4,3.8339731111086146,1.1578606166118217,1.5408061892382026,0.0039810717055349205,100.00000000005001,22-03-18,-0.15906936522253942
23-03-18,31.47028093155266,2.4082246917026264,-8.9287030806618e-34,5398335236515.677,15379.316821141865,10975186.257803565,1623462343168.4673,10627019816781588e4,3.896716372587013,1.249297264525394,1.5744060724109816,0.4687345998959651,96.4365076099814,23-03-18,-0.1606546994678329
24-03-18,32.97861146271464,2.4082246917026264,-8.9287030806618e-34,6308874220978.737,14586.379644800896,14096465.517251676,1706863951384.6726,10969901625040426e4,3.798486134127633,1.106212117990447,1.5230640430775342,0.9590820817782292,98.48857801801182,24-03-18,-0.1602248981539111
25-03-18,34.493241551707555,2.4082246917026264,-8.9287030806618e-34,7859032668472.208,14790.68783280173,17222411.778889664,1985886973000.153,11123018445935375e4,2.7986106376111413,0.8536023571809244,1.311623189841494,1.2421103103779685,99.74968671635014,25-03-18,-0.16200149116507445
26-03-18,36.01394383618912,2.4082246917026264,-8.9287030806618e-34,6546679692957.211,14462.40430875525,16298523.287175091,1839045883835.2734,10969901625040426e4,3.711134482957804,1.1908468439833624,1.5325492126867686,1.8110130092427605,97.97958971137815,26-03-18,-0.1631385589829971
27-03-18,37.54050761382401,2.4082246917026264,-8.9287030806618e-34,4562182672632.749,13929.19020066802,11704110.425330956,1394384761051.8376,108401713682273e6,4.001627003011599,0.7708587212205514,1.4966822592337226,1.5999287932764144,98.48857801801182,27-03-18,-0.1607442544779385
28-03-18,39.0727370477694,2.4082246917026264,-8.9287030806618e-34,6308874220978.737,14836.332854898677,14163510.100828005,1767985986001.397,10765134632932268e4,3.8849851550209697,1.0793863312506358,1.529217168266449,1.579587927866213,99.49874371071225,28-03-18,-0.16078568875447818
29-03-18,40.61044962285464,2.4082246917026264,-8.9287030806618e-34,6308874220978.737,14962.313673696326,13569322.817027243,1749962670089.5212,1070118985596543e5,4.305832353152706,1.406845412082571,1.67535541410448,0.8265759469794228,100.99504938367029,29-03-18,-0.16134082160052177
30-03-18,42.153474809965864,2.4082246917026264,-8.9287030806618e-34,6446645544162.461,16018.41821765407,14400206.660649437,2067556149765.3909,1070118985596543e5,4.597445459952073,1.5088597268148538,1.7444167881861117,1.0666612215252236,97.97958971137815,30-03-18,-0.17870347921647126
31-03-18,43.70165290452901,2.4082246917026264,-8.9287030806618e-34,2599199741852.4956,10449.293671048674,14778634.796353344,950406374959.5498,10904862871777845e4,3.727081679309778,1.1202265400673337,1.51628471286238,2.9801854622225816,86.6025403785016,31-03-18,-0.16445155938549483
01-04-18,1.000000011,3.0314331390836653,-8.9287030806618e-34,3162041471478.8086,11595.01515356922,8007576.1121218065,778725206425.128,10915678504791618e4,2.7443421622723814,0.6170338719755167,1.269439827431962,1.9434288354310947,99.49874371071225,01-04-18,-0.16134082160052177
02-04-18,2.1435469368620965,3.0314331390836653,-8.9287030806618e-34,2336417997123.626,9653.933781657879,10571703.426878864,659518292617.2104,10969901625040426e4,2.7670094286967335,1.1225228786282468,1.37274969269818,0.8867933807175657,99.74968671635014,02-04-18,-0.16095206933439427
03-04-18,3.3483695343790734,3.0314331390836653,-8.9287030806618e-34,5247433299140.532,13591.50041152032,11223211.812322779,1296811753701.3704,10829423095471853e4,2.7624823583552103,0.9387403968363855,1.3226657735174137,0.3492500040684315,99.49874371071225,03-04-18,-0.16063407538831345
04-04-18,4.594793432623831,3.0314331390836653,-8.9287030806618e-34,6730213259734.894,14847.75794994293,13601793.35807585,1727027784830.0361,1063758713040885e5,2.3163098794055488,0.7170578356363303,1.197784975976168,0.0039810717055349205,99.49874371071225,04-04-18,-0.1609868622622747
05-04-18,5.8730947283609165,3.0314331390836653,-8.9287030806618e-34,4489572138636.964,12373.763906891572,13765093.10813324,1235153577489.8096,10542820830473455e4,2.865819017507841,1.4122322509616976,1.49609658815234,0.6897939863661877,98.74208829070814,05-04-18,-0.1681320066131021
06-04-18,7.177387206266454,3.0314331390836653,-8.9287030806618e-34,2829863343703.1685,9988.678578779078,12716096.343981734,792649758070.9941,10775825465402994e4,3.4559235665185875,1.1787286286564342,1.4931601770725542,2.5204446763482204,92.1954445729831,06-04-18,-0.1641290720198027
07-04-18,8.503698321636447,3.0314331390836653,-8.9287030806618e-34,2782330962360.091,9190.53209469662,13666923.567449134,716941865656.7705,109481833552461e6,3.476468397820846,1.1470890311442075,1.4872465931274397,1.9478724289933331,94.86832980510408,07-04-18,-0.16096250247568467
08-04-18,9.849155320301948,3.0314331390836653,-8.9287030806618e-34,2599199741852.4956,8906.088310081346,16411758.968431564,769976746448.3914,11035289283881135e4,3.0069965332005704,0.8170921824288152,1.3418660480598708,2.157657006207559,98.99494936616716,08-04-18,-0.1611544990667209
09-04-18,11.211578470242733,3.0314331390836653,-8.9287030806618e-34,3368580847552.3237,10504.345289138262,12083023.683665378,839767163462.4333,11035289283881135e4,2.4704209941136654,1.1179191651116163,1.3234463377878982,1.801955236825975,98.99494936616716,09-04-18,-0.1600898864616577
10-04-18,12.589254131789893,3.0314331390836653,-8.9287030806618e-34,4277847117287.7114,11439.195422927112,15200626.735480804,1140456321658.8433,10861696721373354e4,2.776054062773913,1.1807685448846716,1.393163485959968,1.2085019499004939,99.49874371071225,10-04-18,-0.16061690078347426
